"","Origin","Destination","Product","Month","Quantity"
"105","Egypt","Japan","LuminousLocks Shampoo","Apr2004",1571
"106","Egypt","Japan","MorningMist Deodorant","Apr2004",1398
"107","Egypt","Japan","OralEase Gel","Apr2004",1697
"108","Egypt","Japan","OralEase Plus Toothbrush","Apr2004",596
"109","Egypt","Japan","PurePore Insect Repellent Spray","Apr2004",1045
"110","Egypt","Japan","PurePore Sanitary Belt","Apr2004",1092
"111","Egypt","Japan","PurePore Toner","Apr2004",662
"112","Egypt","Japan","Purezza Body Wash","Apr2004",752
"113","Egypt","Japan","RadiantRinse Color Protector","Apr2004",1172
"114","Egypt","Japan","RadiantRose Baby Massage Oil","Apr2004",1142
"115","Egypt","Japan","RadiantRose Face Mask","Apr2004",646
"116","Egypt","Japan","RadiantRose Glass Cleaner","Apr2004",775
"117","Egypt","Japan","Refreshing Rose Body Oil","Apr2004",1186
"118","Egypt","Japan","SilkSmooth Exfoliating Scrub","Apr2004",1775
"119","Egypt","Japan","SilkySkin Moisturizing Cream","Apr2004",497
"120","Egypt","Japan","SkinSational Moisturizer","Apr2004",1180
"121","Egypt","Japan","SmellSational Odor Eliminator","Apr2004",1367
"122","Egypt","Japan","SmellSational Pet Deodorizer","Apr2004",526
"123","Egypt","Japan","SmileShield Whitening Strips","Apr2004",691
"124","Egypt","Japan","SmilesSoPure Waterpik","Apr2004",631
"125","Egypt","Japan","SmoothOperator Shaving Gel","Apr2004",1106
"126","Egypt","Japan","SoftStep Baby Shampoo","Apr2004",772
"127","Egypt","Japan","SoftStep Shaving Cream","Apr2004",972
"128","Egypt","Japan","SoftStep Shaving Cream for Women","Apr2004",1348
"129","Egypt","Japan","SoothingPaws Cat Lotion","Apr2004",1209
"130","Egypt","Japan","SoothingSerenity Air Freshener","Apr2004",1906
"131","Egypt","Japan","SoothingSerenity Baby Oil","Apr2004",1174
"132","Egypt","Japan","SoothingSerenity Baby Rub","Apr2004",820
"133","Egypt","Japan","SoothingSerenity Hand Sanitizer","Apr2004",1376
"134","Egypt","Japan","SoothingSoft Fabric Softener","Apr2004",793
"135","Egypt","Japan","SparklingGlow Toothpaste","Apr2004",1733
"136","Egypt","Japan","SunShield SPF 50 Lotion","Apr2004",1775
"137","South Africa","France","FreshFusion All-Purpose Cleaner","Aug2004",533
"138","South Africa","France","FreshFusion Detergent","Aug2004",594
"139","South Africa","France","FreshFusion Diaper Rash Remedy","Aug2004",532
"140","South Africa","France","FreshFusion Hair Mask","Aug2004",1690
"141","South Africa","France","FreshFusion Mouth Rinse","Aug2004",645
"142","South Africa","France","FreshStart Toothpaste","Aug2004",939
"143","South Africa","France","GentleGlow Baby Face Wash","Aug2004",1833
"144","South Africa","France","GentleGlow Baby Sunscreen","Aug2004",1027
"145","South Africa","France","GentleGlow Dish Soap","Aug2004",450
"146","South Africa","France","GentleGlow Face Cleanser","Aug2004",667
"147","South Africa","France","GentleGlow Face Lotion","Aug2004",1342
"148","South Africa","France","GentleGlow Pet Grooming Kit","Aug2004",2031
"149","South Africa","France","HydraHydrate Hand Cream","Aug2004",812
"150","South Africa","France","Hydrating Honey Body Lotion","Aug2004",2091
"151","South Africa","France","LittleLullaby Diaper Cream","Aug2004",1115
"152","South Africa","France","LittleLullaby Diaper Liners","Aug2004",1635
"153","South Africa","France","LuminousLip Care","Aug2004",210
"154","South Africa","France","LuminousLocks Shampoo","Aug2004",600
"155","South Africa","France","MorningBreeze Gum Care","Aug2004",1261
"156","South Africa","France","MorningMist Deodorant","Aug2004",360
"157","South Africa","France","OralEase Gel","Aug2004",962
"158","South Africa","France","OralEase Plus Toothbrush","Aug2004",1333
"159","South Africa","France","PurePaw Dog Shampoo","Aug2004",596
"160","South Africa","France","PurePore Baby Lotion","Aug2004",1024
"161","South Africa","France","PurePore Baby Skincare Set","Aug2004",483
"162","South Africa","France","PurePore Insect Repellent Spray","Aug2004",670
"163","South Africa","France","PurePore Sanitary Belt","Aug2004",1375
"164","South Africa","France","PurePore Toner","Aug2004",1486
"165","South Africa","France","Purezza Body Wash","Aug2004",751
"166","South Africa","France","RadiantRinse Color Protector","Aug2004",1408
"167","South Africa","France","RadiantRose Baby Massage Oil","Aug2004",1436
"168","South Africa","France","RadiantRose Face Mask","Aug2004",994
"169","South Africa","France","RadiantRose Glass Cleaner","Aug2004",1841
"170","South Africa","France","RadiantRover Pet Conditioner","Aug2004",1828
"171","South Africa","France","Refreshing Rose Body Oil","Aug2004",667
"172","South Africa","France","SilkSmooth Exfoliating Scrub","Aug2004",1914
"173","South Africa","France","SilkySkin Baby Cream","Aug2004",1489
"174","South Africa","France","SilkySkin Baby Moisturizer","Aug2004",432
"175","South Africa","France","SilkySkin Moisturizing Cream","Aug2004",564
"176","South Africa","France","SkinSational Moisturizer","Aug2004",1613
"177","South Africa","France","SmellSational Baby Room Spray","Aug2004",1372
"178","South Africa","France","SmellSational Intimate Spray","Aug2004",1187
"179","South Africa","France","SmellSational Odor Eliminator","Aug2004",205
"180","South Africa","France","SmellSational Pet Deodorizer","Aug2004",1226
"181","South Africa","France","SmileSavvy Tooth Whitening Kit","Aug2004",1236
"182","South Africa","France","SmileShield Whitening Strips","Aug2004",622
"183","South Africa","France","SmilesSoPure Waterpik","Aug2004",181
"184","South Africa","France","SmoothOperator Shaving Gel","Aug2004",627
"185","South Africa","France","SoftStep Baby Shampoo","Aug2004",1754
"186","South Africa","France","SoftStep Shaving Cream","Aug2004",698
"187","South Africa","France","SoftStep Shaving Cream for Women","Aug2004",486
"188","South Africa","France","SoothingPaws Cat Lotion","Aug2004",623
"189","South Africa","France","SoothingSerenity Air Freshener","Aug2004",1670
"190","South Africa","France","SoothingSerenity Baby Oil","Aug2004",1701
"191","South Africa","France","SoothingSerenity Baby Rub","Aug2004",1354
"192","South Africa","France","SoothingSerenity Hand Sanitizer","Aug2004",1483
"193","South Africa","France","SoothingSerenity Scalp Treatment","Aug2004",1169
"194","South Africa","France","SoothingSoft Fabric Softener","Aug2004",700
"195","South Africa","France","SparklingClean All-Purpose Cleaner","Aug2004",307
"196","South Africa","France","SparklingSmile Water Flosser","Aug2004",321
"197","South Africa","France","SunShield SPF 50 Lotion","Aug2004",155
"198","Australia","United Kingdom","MorningMist Deodorant","Aug2004",1270
"199","Australia","United Kingdom","OralEase Gel","Aug2004",1850
"200","Australia","United Kingdom","PurePaw Dog Shampoo","Aug2004",1706
"201","Australia","United Kingdom","PurePore Baby Skincare Set","Aug2004",1520
"202","Australia","United Kingdom","PurePore Insect Repellent Spray","Aug2004",1069
"203","Australia","United Kingdom","PurePore Sanitary Belt","Aug2004",479
"204","Australia","United Kingdom","PurePore Toner","Aug2004",1662
"205","Australia","United Kingdom","Purezza Body Wash","Aug2004",588
"206","Australia","United Kingdom","RadiantRinse Color Protector","Aug2004",1221
"207","Australia","United Kingdom","RadiantRose Baby Massage Oil","Aug2004",1763
"208","Australia","United Kingdom","RadiantRose Face Mask","Aug2004",1759
"209","Australia","United Kingdom","RadiantRose Hair Serum","Aug2004",1778
"210","Australia","United Kingdom","RadiantRover Pet Conditioner","Aug2004",1894
"211","Australia","United Kingdom","Refreshing Rose Body Oil","Aug2004",1758
"212","Australia","United Kingdom","SilkSmooth Conditioner","Aug2004",843
"213","Australia","United Kingdom","SilkSmooth Exfoliating Scrub","Aug2004",640
"214","Australia","United Kingdom","SilkySkin Baby Cream","Aug2004",1092
"215","Australia","United Kingdom","SilkySkin Baby Moisturizer","Aug2004",770
"216","Australia","United Kingdom","SkinSational Moisturizer","Aug2004",532
"217","Australia","United Kingdom","SmellSational Baby Room Spray","Aug2004",792
"218","Australia","United Kingdom","SmellSational Intimate Spray","Aug2004",2034
"219","Australia","United Kingdom","SmellSational Odor Eliminator","Aug2004",878
"220","Australia","United Kingdom","SmellSational Pet Deodorizer","Aug2004",1078
"221","Australia","United Kingdom","SmileSavvy Tooth Whitening Kit","Aug2004",537
"222","Australia","United Kingdom","SmileShield Whitening Strips","Aug2004",1417
"223","Australia","United Kingdom","SmilesSoPure Waterpik","Aug2004",632
"224","Australia","United Kingdom","SmoothOperator Shaving Gel","Aug2004",612
"225","Australia","United Kingdom","SoftStep Baby Shampoo","Aug2004",567
"226","Australia","United Kingdom","SoftStep Shaving Cream","Aug2004",1618
"227","Australia","United Kingdom","SoftStep Shaving Cream for Women","Aug2004",1693
"228","Australia","United Kingdom","SoothingPaws Cat Lotion","Aug2004",637
"229","Australia","United Kingdom","SoothingSerenity Air Freshener","Aug2004",1360
"230","Australia","United Kingdom","SoothingSerenity Baby Oil","Aug2004",221
"231","Australia","United Kingdom","SoothingSerenity Baby Rub","Aug2004",984
"232","Australia","United Kingdom","SoothingSerenity Hand Sanitizer","Aug2004",522
"233","Australia","United Kingdom","SoothingSerenity Humidifier","Aug2004",686
"234","Australia","United Kingdom","SoothingSerenity Scalp Treatment","Aug2004",1817
"235","Australia","United Kingdom","SoothingSoft Fabric Softener","Aug2004",1094
"236","Australia","United Kingdom","SparklingGlow Toothpaste","Aug2004",1778
"237","Australia","United Kingdom","SparklingSmile Water Flosser","Aug2004",1240
"238","Australia","United Kingdom","SunShield SPF 50 Lotion","Aug2004",655
"239","Egypt","Japan","LuminousLocks Shampoo","Aug2004",1005
"240","Egypt","Japan","MorningMist Deodorant","Aug2004",1466
"241","Egypt","Japan","OralEase Gel","Aug2004",1660
"242","Egypt","Japan","OralEase Plus Toothbrush","Aug2004",573
"243","Egypt","Japan","PurePore Insect Repellent Spray","Aug2004",1139
"244","Egypt","Japan","PurePore Sanitary Belt","Aug2004",991
"245","Egypt","Japan","PurePore Toner","Aug2004",636
"246","Egypt","Japan","Purezza Body Wash","Aug2004",675
"247","Egypt","Japan","RadiantRinse Color Protector","Aug2004",1307
"248","Egypt","Japan","RadiantRose Baby Massage Oil","Aug2004",998
"249","Egypt","Japan","RadiantRose Face Mask","Aug2004",608
"250","Egypt","Japan","RadiantRose Glass Cleaner","Aug2004",763
"251","Egypt","Japan","Refreshing Rose Body Oil","Aug2004",1170
"252","Egypt","Japan","SilkSmooth Exfoliating Scrub","Aug2004",1561
"253","Egypt","Japan","SilkySkin Moisturizing Cream","Aug2004",587
"254","Egypt","Japan","SkinSational Moisturizer","Aug2004",1053
"255","Egypt","Japan","SmellSational Odor Eliminator","Aug2004",1273
"256","Egypt","Japan","SmellSational Pet Deodorizer","Aug2004",601
"257","Egypt","Japan","SmileShield Whitening Strips","Aug2004",675
"258","Egypt","Japan","SmilesSoPure Waterpik","Aug2004",673
"259","Egypt","Japan","SmoothOperator Shaving Gel","Aug2004",1061
"260","Egypt","Japan","SoftStep Baby Shampoo","Aug2004",756
"261","Egypt","Japan","SoftStep Shaving Cream","Aug2004",879
"262","Egypt","Japan","SoftStep Shaving Cream for Women","Aug2004",1169
"263","Egypt","Japan","SoothingPaws Cat Lotion","Aug2004",1426
"264","Egypt","Japan","SoothingSerenity Air Freshener","Aug2004",1824
"265","Egypt","Japan","SoothingSerenity Baby Oil","Aug2004",1154
"266","Egypt","Japan","SoothingSerenity Baby Rub","Aug2004",885
"267","Egypt","Japan","SoothingSerenity Hand Sanitizer","Aug2004",1256
"268","Egypt","Japan","SoothingSoft Fabric Softener","Aug2004",728
"269","Egypt","Japan","SparklingGlow Toothpaste","Aug2004",1832
"270","Egypt","Japan","SunShield SPF 50 Lotion","Aug2004",1756
"271","South Africa","France","FreshFusion All-Purpose Cleaner","Dec2004",346
"272","South Africa","France","FreshFusion Detergent","Dec2004",585
"273","South Africa","France","FreshFusion Diaper Rash Remedy","Dec2004",511
"274","South Africa","France","FreshFusion Hair Mask","Dec2004",1775
"275","South Africa","France","FreshFusion Mouth Rinse","Dec2004",722
"276","South Africa","France","FreshStart Toothpaste","Dec2004",918
"277","South Africa","France","GentleGlow Baby Face Wash","Dec2004",1727
"278","South Africa","France","GentleGlow Baby Sunscreen","Dec2004",911
"279","South Africa","France","GentleGlow Dish Soap","Dec2004",519
"280","South Africa","France","GentleGlow Face Cleanser","Dec2004",708
"281","South Africa","France","GentleGlow Face Lotion","Dec2004",1414
"282","South Africa","France","GentleGlow Pet Grooming Kit","Dec2004",2016
"283","South Africa","France","HydraHydrate Hand Cream","Dec2004",745
"284","South Africa","France","Hydrating Honey Body Lotion","Dec2004",1940
"285","South Africa","France","LittleLullaby Diaper Cream","Dec2004",1203
"286","South Africa","France","LittleLullaby Diaper Liners","Dec2004",1866
"287","South Africa","France","LuminousLip Care","Dec2004",221
"288","South Africa","France","LuminousLocks Shampoo","Dec2004",556
"289","South Africa","France","MorningBreeze Gum Care","Dec2004",1192
"290","South Africa","France","MorningMist Deodorant","Dec2004",384
"291","South Africa","France","OralEase Gel","Dec2004",982
"292","South Africa","France","OralEase Plus Toothbrush","Dec2004",1291
"293","South Africa","France","PurePaw Dog Shampoo","Dec2004",666
"294","South Africa","France","PurePore Baby Lotion","Dec2004",1080
"295","South Africa","France","PurePore Baby Skincare Set","Dec2004",505
"296","South Africa","France","PurePore Insect Repellent Spray","Dec2004",689
"297","South Africa","France","PurePore Sanitary Belt","Dec2004",1418
"298","South Africa","France","PurePore Toner","Dec2004",1569
"299","South Africa","France","Purezza Body Wash","Dec2004",786
"300","South Africa","France","RadiantRinse Color Protector","Dec2004",1428
"301","South Africa","France","RadiantRose Baby Massage Oil","Dec2004",1516
"302","South Africa","France","RadiantRose Face Mask","Dec2004",992
"303","South Africa","France","RadiantRose Glass Cleaner","Dec2004",1728
"304","South Africa","France","RadiantRover Pet Conditioner","Dec2004",1809
"305","South Africa","France","Refreshing Rose Body Oil","Dec2004",674
"306","South Africa","France","SilkSmooth Exfoliating Scrub","Dec2004",1751
"307","South Africa","France","SilkySkin Baby Cream","Dec2004",1521
"308","South Africa","France","SilkySkin Baby Moisturizer","Dec2004",487
"309","South Africa","France","SilkySkin Moisturizing Cream","Dec2004",647
"310","South Africa","France","SkinSational Moisturizer","Dec2004",1611
"311","South Africa","France","SmellSational Baby Room Spray","Dec2004",1693
"312","South Africa","France","SmellSational Intimate Spray","Dec2004",1343
"313","South Africa","France","SmellSational Odor Eliminator","Dec2004",185
"314","South Africa","France","SmellSational Pet Deodorizer","Dec2004",1156
"315","South Africa","France","SmileSavvy Tooth Whitening Kit","Dec2004",1136
"316","South Africa","France","SmileShield Whitening Strips","Dec2004",679
"317","South Africa","France","SmilesSoPure Waterpik","Dec2004",185
"318","South Africa","France","SmoothOperator Shaving Gel","Dec2004",640
"319","South Africa","France","SoftStep Baby Shampoo","Dec2004",2152
"320","South Africa","France","SoftStep Shaving Cream","Dec2004",595
"321","South Africa","France","SoftStep Shaving Cream for Women","Dec2004",501
"322","South Africa","France","SoothingPaws Cat Lotion","Dec2004",670
"323","South Africa","France","SoothingSerenity Air Freshener","Dec2004",1580
"324","South Africa","France","SoothingSerenity Baby Oil","Dec2004",1875
"325","South Africa","France","SoothingSerenity Baby Rub","Dec2004",1323
"326","South Africa","France","SoothingSerenity Hand Sanitizer","Dec2004",1604
"327","South Africa","France","SoothingSerenity Scalp Treatment","Dec2004",1053
"328","South Africa","France","SoothingSoft Fabric Softener","Dec2004",765
"329","South Africa","France","SparklingClean All-Purpose Cleaner","Dec2004",306
"330","South Africa","France","SparklingSmile Water Flosser","Dec2004",415
"331","South Africa","France","SunShield SPF 50 Lotion","Dec2004",147
"332","Australia","United Kingdom","MorningMint","Dec2004",263
"333","Australia","United Kingdom","MorningMist Deodorant","Dec2004",1511
"334","Australia","United Kingdom","OralEase Gel","Dec2004",1853
"335","Australia","United Kingdom","PurePaw Dog Shampoo","Dec2004",1669
"336","Australia","United Kingdom","PurePore Baby Skincare Set","Dec2004",1432
"337","Australia","United Kingdom","PurePore Insect Repellent Spray","Dec2004",1090
"338","Australia","United Kingdom","PurePore Sanitary Belt","Dec2004",529
"339","Australia","United Kingdom","PurePore Toner","Dec2004",1820
"340","Australia","United Kingdom","Purezza Body Wash","Dec2004",666
"341","Australia","United Kingdom","RadiantRinse Color Protector","Dec2004",1132
"342","Australia","United Kingdom","RadiantRose Baby Massage Oil","Dec2004",1942
"343","Australia","United Kingdom","RadiantRose Face Mask","Dec2004",1716
"344","Australia","United Kingdom","RadiantRose Hair Serum","Dec2004",1639
"345","Australia","United Kingdom","RadiantRover Pet Conditioner","Dec2004",2115
"346","Australia","United Kingdom","Refreshing Rose Body Oil","Dec2004",1733
"347","Australia","United Kingdom","SilkSmooth Conditioner","Dec2004",898
"348","Australia","United Kingdom","SilkSmooth Exfoliating Scrub","Dec2004",608
"349","Australia","United Kingdom","SilkySkin Baby Cream","Dec2004",1108
"350","Australia","United Kingdom","SilkySkin Baby Moisturizer","Dec2004",730
"351","Australia","United Kingdom","SkinSational Moisturizer","Dec2004",515
"352","Australia","United Kingdom","SmellSational Baby Room Spray","Dec2004",824
"353","Australia","United Kingdom","SmellSational Intimate Spray","Dec2004",2043
"354","Australia","United Kingdom","SmellSational Odor Eliminator","Dec2004",824
"355","Australia","United Kingdom","SmellSational Pet Deodorizer","Dec2004",1154
"356","Australia","United Kingdom","SmileSavvy Tooth Whitening Kit","Dec2004",517
"357","Australia","United Kingdom","SmileShield Whitening Strips","Dec2004",1381
"358","Australia","United Kingdom","SmilesSoPure Waterpik","Dec2004",631
"359","Australia","United Kingdom","SmoothOperator Shaving Gel","Dec2004",635
"360","Australia","United Kingdom","SoftStep Baby Shampoo","Dec2004",535
"361","Australia","United Kingdom","SoftStep Shaving Cream","Dec2004",1668
"362","Australia","United Kingdom","SoftStep Shaving Cream for Women","Dec2004",1884
"363","Australia","United Kingdom","SoothingPaws Cat Lotion","Dec2004",619
"364","Australia","United Kingdom","SoothingSerenity Air Freshener","Dec2004",1336
"365","Australia","United Kingdom","SoothingSerenity Baby Oil","Dec2004",229
"366","Australia","United Kingdom","SoothingSerenity Baby Rub","Dec2004",962
"367","Australia","United Kingdom","SoothingSerenity Hand Sanitizer","Dec2004",564
"368","Australia","United Kingdom","SoothingSerenity Humidifier","Dec2004",672
"369","Australia","United Kingdom","SoothingSerenity Scalp Treatment","Dec2004",1543
"370","Australia","United Kingdom","SoothingSoft Fabric Softener","Dec2004",1041
"371","Australia","United Kingdom","SparklingGlow Toothpaste","Dec2004",1858
"372","Australia","United Kingdom","SparklingSmile Water Flosser","Dec2004",1201
"373","Australia","United Kingdom","SunShield SPF 50 Lotion","Dec2004",602
"374","Egypt","Japan","LuminousLip Care","Dec2004",690
"375","Egypt","Japan","LuminousLocks Shampoo","Dec2004",1586
"376","Egypt","Japan","MorningMist Deodorant","Dec2004",1331
"377","Egypt","Japan","OralEase Gel","Dec2004",1656
"378","Egypt","Japan","OralEase Plus Toothbrush","Dec2004",565
"379","Egypt","Japan","PurePore Insect Repellent Spray","Dec2004",1163
"380","Egypt","Japan","PurePore Sanitary Belt","Dec2004",959
"381","Egypt","Japan","PurePore Toner","Dec2004",719
"382","Egypt","Japan","Purezza Body Wash","Dec2004",728
"383","Egypt","Japan","RadiantRinse Color Protector","Dec2004",1103
"384","Egypt","Japan","RadiantRose Baby Massage Oil","Dec2004",1090
"385","Egypt","Japan","RadiantRose Face Mask","Dec2004",568
"386","Egypt","Japan","RadiantRose Glass Cleaner","Dec2004",745
"387","Egypt","Japan","Refreshing Rose Body Oil","Dec2004",1020
"388","Egypt","Japan","SilkSmooth Exfoliating Scrub","Dec2004",1726
"389","Egypt","Japan","SilkySkin Moisturizing Cream","Dec2004",567
"390","Egypt","Japan","SkinSational Moisturizer","Dec2004",1124
"391","Egypt","Japan","SmellSational Odor Eliminator","Dec2004",1351
"392","Egypt","Japan","SmellSational Pet Deodorizer","Dec2004",548
"393","Egypt","Japan","SmileShield Whitening Strips","Dec2004",612
"394","Egypt","Japan","SmilesSoPure Waterpik","Dec2004",654
"395","Egypt","Japan","SmoothOperator Shaving Gel","Dec2004",1265
"396","Egypt","Japan","SoftStep Baby Shampoo","Dec2004",812
"397","Egypt","Japan","SoftStep Shaving Cream","Dec2004",935
"398","Egypt","Japan","SoftStep Shaving Cream for Women","Dec2004",1388
"399","Egypt","Japan","SoothingPaws Cat Lotion","Dec2004",1278
"400","Egypt","Japan","SoothingSerenity Air Freshener","Dec2004",1795
"401","Egypt","Japan","SoothingSerenity Baby Oil","Dec2004",1177
"402","Egypt","Japan","SoothingSerenity Baby Rub","Dec2004",970
"403","Egypt","Japan","SoothingSerenity Hand Sanitizer","Dec2004",1335
"404","Egypt","Japan","SoothingSoft Fabric Softener","Dec2004",764
"405","Egypt","Japan","SparklingGlow Toothpaste","Dec2004",1925
"406","Egypt","Japan","SunShield SPF 50 Lotion","Dec2004",1857
"407","South Africa","France","FreshFusion All-Purpose Cleaner","Feb2004",588
