"","Country","Product","Month","Quantity"
"201","India","SilkSmooth Conditioner","Apr2004",396
"202","India","SilkSmooth Exfoliating Scrub","Apr2004",1028
"203","India","SilkySkin Baby Cream","Apr2004",848
"204","India","SmellSational Intimate Spray","Apr2004",1830
"205","India","SmileShield Whitening Strips","Apr2004",1364
"206","India","SmilesSoPure Waterpik","Apr2004",1413
"207","India","SmoothOperator Shaving Gel","Apr2004",1120
"208","India","SoftStep Shaving Cream for Women","Apr2004",819
"209","India","SoothingPaws Cat Lotion","Apr2004",1736
"210","India","SoothingSerenity Baby Rub","Apr2004",1274
"211","India","SoothingSerenity Humidifier","Apr2004",1357
"212","India","SoothingSerenity Scalp Treatment","Apr2004",688
"213","India","SunShield SPF 50 Lotion","Apr2004",614
"214","Italy","BreathBliss Mints","Apr2004",560
"215","Italy","BreatheEasy Inhalant","Apr2004",728
"216","Italy","BrightBreeze Baby Sunscreen Stick","Apr2004",571
"217","Italy","BrightBreeze Insect Repellent","Apr2004",862
"218","Italy","BrightBreeze Period Pain Relief","Apr2004",1641
"219","Italy","BrightBreeze Whitening Booster","Apr2004",527
"220","Italy","Brightening Body Wash","Apr2004",918
"221","Italy","BriteBite Toothbrush","Apr2004",1893
"222","Italy","Calming Creme Relaxant Bath","Apr2004",797
"223","Italy","CalmingClean Bath Time Wash","Apr2004",1916
"224","Italy","CalmingClean Diaper Rash Cream","Apr2004",943
"225","Italy","CalmingClean Dog Brush","Apr2004",617
"226","Italy","CleanSlate Disinfectant Spray","Apr2004",978
"227","Italy","CleanSlate Mouthwash","Apr2004",1621
"228","Italy","CleanSlate Stain Remover","Apr2004",792
"229","Italy","CleanSmile Floss Picks","Apr2004",1108
"230","Italy","DailyDazzle Toothpaste","Apr2004",642
"231","Italy","DelicateDew Sensitive Wash","Apr2004",839
"232","Italy","EasyWash Laundry Detergent","Apr2004",756
"233","Italy","EasyWash Laundry Detergent for Babies","Apr2004",549
"234","Italy","EasyWash Laundry Detergent for Delicates","Apr2004",1307
"235","Italy","EasyWash Pet Laundry Detergent","Apr2004",1326
"236","Italy","Exfoliating Essentials Scrub","Apr2004",953
"237","Italy","FreshFix Mouthwash","Apr2004",885
"238","Italy","FreshFold Fabric Refresher","Apr2004",597
"239","Italy","FreshFusion All-Purpose Cleaner","Apr2004",1748
"240","Italy","FreshFusion Baby Wipes","Apr2004",876
"241","Italy","FreshFusion Detergent","Apr2004",1126
"242","Italy","FreshFusion Diaper Rash Remedy","Apr2004",1067
"243","Italy","FreshFusion Flea and Tick Spray","Apr2004",1589
"244","Italy","FreshFusion Hair Mask","Apr2004",1579
"245","Italy","FreshFusion Mouth Rinse","Apr2004",1364
"246","Italy","FreshStart Toothpaste","Apr2004",662
"247","Italy","GentleGlow Baby Face Wash","Apr2004",865
"248","Italy","GentleGlow Baby Sunscreen","Apr2004",2045
"249","Italy","GentleGlow Dish Soap","Apr2004",1119
"250","Italy","GentleGlow Face Cleanser","Apr2004",686
"251","Italy","GentleGlow Pet Grooming Kit","Apr2004",1292
"252","Italy","Hydrating Honey Body Lotion","Apr2004",1396
"253","Italy","LittleLullaby Diaper Cream","Apr2004",1601
"254","Italy","LittleLullaby Diaper Liners","Apr2004",791
"255","Italy","LuminousLip Care","Apr2004",705
"256","Italy","LuminousLocks Shampoo","Apr2004",1185
"257","Italy","MorningMint","Apr2004",616
"258","Italy","PurePaw Dog Shampoo","Apr2004",1455
"259","Italy","PurePore Baby Skincare Set","Apr2004",1033
"260","Italy","PurePore Sanitary Belt","Apr2004",837
"261","Italy","PurePore Toner","Apr2004",118
"262","Italy","RadiantRinse Color Protector","Apr2004",1283
"263","Italy","RadiantRose Glass Cleaner","Apr2004",1432
"264","Italy","RadiantRover Pet Conditioner","Apr2004",2049
"265","Italy","Refreshing Rose Body Oil","Apr2004",1178
"266","Italy","SilkSmooth Conditioner","Apr2004",890
"267","Italy","SilkySkin Baby Cream","Apr2004",716
"268","Italy","SilkySkin Baby Moisturizer","Apr2004",1024
"269","Italy","SilkySkin Moisturizing Cream","Apr2004",631
"270","Italy","SkinSational Moisturizer","Apr2004",1721
"271","Italy","SmellSational Baby Room Spray","Apr2004",743
"272","Italy","SmellSational Intimate Spray","Apr2004",1681
"273","Italy","SmellSational Pet Deodorizer","Apr2004",951
"274","Italy","SmileSavvy Tooth Whitening Kit","Apr2004",670
"275","Italy","SmileShield Whitening Strips","Apr2004",572
"276","Italy","SmilesSoPure Waterpik","Apr2004",1811
"277","Italy","SmoothOperator Shaving Gel","Apr2004",1067
"278","Italy","SoftStep Baby Shampoo","Apr2004",788
"279","Italy","SoftStep Shaving Cream","Apr2004",431
"280","Italy","SoftStep Shaving Cream for Women","Apr2004",1634
"281","Italy","SoothingPaws Cat Lotion","Apr2004",1009
"282","Italy","SoothingSerenity Air Freshener","Apr2004",1154
"283","Italy","SoothingSerenity Baby Oil","Apr2004",1230
"284","Italy","SoothingSerenity Baby Rub","Apr2004",1821
"285","Italy","SoothingSerenity Hand Sanitizer","Apr2004",1694
"286","Italy","SoothingSerenity Humidifier","Apr2004",1109
"287","Italy","SoothingSerenity Scalp Treatment","Apr2004",766
"288","Italy","SoothingSoft Fabric Softener","Apr2004",827
"289","Italy","SparklingClean All-Purpose Cleaner","Apr2004",1692
"290","Italy","SunShield SPF 50 Lotion","Apr2004",1447
"291","Japan","BreathBliss Mints","Apr2004",1964
"292","Japan","BreatheEasy Inhalant","Apr2004",1134
"293","Japan","BrightBreeze Baby Sunscreen Stick","Apr2004",1174
"294","Japan","BrightBreeze Insect Repellent","Apr2004",645
"295","Japan","BrightBreeze Period Pain Relief","Apr2004",683
"296","Japan","BrightBreeze Pet Odor Eliminator","Apr2004",601
"297","Japan","BrightBreeze Whitening Booster","Apr2004",1711
"298","Japan","BrightBreeze Window Cleaner","Apr2004",1669
"299","Japan","Brightening Body Wash","Apr2004",1425
"300","Japan","Calming Creme Relaxant Bath","Apr2004",909
"301","Japan","CalmingClean Bath Time Wash","Apr2004",664
"302","Japan","CalmingClean Diaper Rash Cream","Apr2004",1917
"303","Japan","CalmingClean Dog Brush","Apr2004",1021
"304","Japan","CleanSkin Acne Treatment","Apr2004",1295
"305","Japan","CleanSlate Disinfectant Spray","Apr2004",2024
"306","Japan","CleanSlate Feminine Deodorant","Apr2004",1470
"307","Japan","CleanSlate Mouthwash","Apr2004",506
"308","Japan","CleanSlate Stain Remover","Apr2004",1338
"309","Japan","CleanSmile Floss Picks","Apr2004",1168
"310","Japan","DailyDazzle Toothpaste","Apr2004",1726
"311","Japan","DelicateDew Sensitive Wash","Apr2004",1170
"312","Japan","DentalDefense Toothpaste","Apr2004",1930
"313","Japan","EasyWash Laundry Detergent","Apr2004",479
"314","Japan","EasyWash Laundry Detergent for Babies","Apr2004",744
"315","Japan","EasyWash Pet Laundry Detergent","Apr2004",464
"316","Japan","FreshFix Mouthwash","Apr2004",1425
"317","Japan","FreshFusion All-Purpose Cleaner","Apr2004",2049
"318","Japan","FreshFusion Baby Wipes","Apr2004",684
"319","Japan","FreshFusion Flea and Tick Spray","Apr2004",1136
"320","Japan","FreshFusion Mouth Rinse","Apr2004",719
"321","Japan","FreshStart Toothpaste","Apr2004",1649
"322","Japan","GentleGlow Baby Face Wash","Apr2004",1965
"323","Japan","GentleGlow Dish Soap","Apr2004",714
"324","Japan","GentleGlow Face Cleanser","Apr2004",1215
"325","Japan","GentleGlow Face Lotion","Apr2004",1299
"326","Japan","GentleGlow Pet Grooming Kit","Apr2004",309
"327","Japan","LittleLullaby Diaper Liners","Apr2004",535
"328","Japan","LuminousLip Care","Apr2004",1408
"329","Japan","LuminousLocks Shampoo","Apr2004",62
"330","Russia","BrightBreeze Baby Sunscreen Stick","Apr2004",1405
"331","Russia","BrightBreeze Insect Repellent","Apr2004",1662
"332","Russia","BrightBreeze Period Pain Relief","Apr2004",2031
"333","Russia","BrightBreeze Pet Odor Eliminator","Apr2004",905
"334","Russia","BrightBreeze Whitening Booster","Apr2004",1376
"335","Russia","BrightBreeze Window Cleaner","Apr2004",1962
"336","Russia","Brightening Body Wash","Apr2004",1304
"337","Russia","BriteBite Toothbrush","Apr2004",1882
"338","Russia","Calming Creme Relaxant Bath","Apr2004",974
"339","Russia","CalmingClean Bath Time Wash","Apr2004",1189
"340","Russia","CalmingClean Diaper Rash Cream","Apr2004",985
"341","Russia","CalmingClean Dog Brush","Apr2004",1105
"342","Russia","CalmingClean Trash Bags","Apr2004",1555
"343","Russia","CleanSkin Acne Treatment","Apr2004",489
"344","Russia","CleanSlate Disinfectant Spray","Apr2004",675
"345","Russia","CleanSlate Feminine Deodorant","Apr2004",890
"346","Russia","CleanSlate Mouthwash","Apr2004",871
"347","Russia","CleanSlate Stain Remover","Apr2004",1167
"348","Russia","CleanSmile Floss Picks","Apr2004",798
"349","Russia","DailyDazzle Toothpaste","Apr2004",818
"350","Russia","DelicateDew Sensitive Wash","Apr2004",1823
"351","Russia","DentalDefense Toothpaste","Apr2004",1872
"352","Russia","EasyWash Laundry Detergent","Apr2004",910
"353","Russia","EasyWash Laundry Detergent for Babies","Apr2004",809
"354","Russia","EasyWash Laundry Detergent for Delicates","Apr2004",355
"355","Russia","EasyWash Pet Laundry Detergent","Apr2004",426
"356","Russia","FreshFix Mouthwash","Apr2004",987
"357","Russia","FreshFold Fabric Refresher","Apr2004",971
"358","Russia","FreshFusion All-Purpose Cleaner","Apr2004",1881
"359","Russia","FreshFusion Baby Wipes","Apr2004",1124
"360","Russia","FreshFusion Detergent","Apr2004",967
"361","Russia","FreshFusion Diaper Rash Remedy","Apr2004",1515
"362","Russia","FreshFusion Hair Mask","Apr2004",1281
"363","Russia","FreshFusion Mouth Rinse","Apr2004",1468
"364","Russia","GentleGlow Baby Face Wash","Apr2004",797
"365","Russia","GentleGlow Dish Soap","Apr2004",598
"366","Russia","GentleGlow Face Cleanser","Apr2004",1942
"367","Russia","GentleGlow Face Lotion","Apr2004",1051
"368","Russia","GentleGlow Pet Grooming Kit","Apr2004",1827
"369","Russia","HydraHydrate Hand Cream","Apr2004",1446
"370","Russia","Hydrating Honey Body Lotion","Apr2004",897
"371","Russia","HydratingHoney Pet Wipes","Apr2004",1244
"372","Russia","LittleLullaby Diaper Cream","Apr2004",802
"373","Russia","LittleLullaby Diaper Liners","Apr2004",1893
"374","Russia","LuminousLip Care","Apr2004",1915
"375","Russia","LuminousLocks Shampoo","Apr2004",1623
"376","Russia","MorningMint","Apr2004",809
"377","Russia","MorningMist Deodorant","Apr2004",905
"378","Russia","OralEase Gel","Apr2004",1944
"379","Russia","OralEase Plus Toothbrush","Apr2004",1312
"380","Russia","PurePaw Dog Shampoo","Apr2004",480
"381","Russia","PurePore Baby Lotion","Apr2004",1894
"382","Russia","PurePore Baby Skincare Set","Apr2004",895
"383","Russia","PurePore Sanitary Belt","Apr2004",831
"384","Russia","PurePore Toner","Apr2004",1003
"385","Russia","RadiantRinse Color Protector","Apr2004",1439
"386","Russia","RadiantRose Baby Massage Oil","Apr2004",685
"387","Russia","RadiantRose Face Mask","Apr2004",660
"388","Russia","RadiantRose Glass Cleaner","Apr2004",347
"389","Russia","RadiantRose Hair Serum","Apr2004",1303
"390","Russia","Refreshing Rose Body Oil","Apr2004",759
"391","Russia","SilkSmooth Conditioner","Apr2004",1153
"392","Russia","SilkSmooth Exfoliating Scrub","Apr2004",783
"393","Russia","SilkySkin Baby Cream","Apr2004",792
"394","Russia","SilkySkin Baby Moisturizer","Apr2004",1037
"395","Russia","SilkySkin Moisturizing Cream","Apr2004",968
"396","Russia","SmellSational Baby Room Spray","Apr2004",1473
"397","Russia","SmellSational Intimate Spray","Apr2004",659
"398","Russia","SmellSational Odor Eliminator","Apr2004",819
"399","Russia","SmileSavvy Tooth Whitening Kit","Apr2004",1968
"400","Russia","SmileShield Whitening Strips","Apr2004",1304
"401","Russia","SmilesSoPure Waterpik","Apr2004",974
"402","Russia","SmoothOperator Shaving Gel","Apr2004",1522
"403","Russia","SoftStep Baby Shampoo","Apr2004",770
"404","Russia","SoftStep Shaving Cream","Apr2004",1724
"405","Russia","SoftStep Shaving Cream for Women","Apr2004",804
"406","Russia","SoothingPaws Cat Lotion","Apr2004",983
"407","Russia","SoothingSerenity Air Freshener","Apr2004",1117
"408","Russia","SoothingSerenity Baby Oil","Apr2004",1229
"409","Russia","SoothingSerenity Baby Rub","Apr2004",882
"410","Russia","SoothingSerenity Hand Sanitizer","Apr2004",550
"411","Russia","SoothingSerenity Humidifier","Apr2004",725
"412","Russia","SoothingSerenity Scalp Treatment","Apr2004",1928
"413","Russia","SoothingSoft Fabric Softener","Apr2004",888
"414","Russia","SparklingClean All-Purpose Cleaner","Apr2004",764
"415","Russia","SparklingGlow Toothpaste","Apr2004",1560
"416","Russia","SparklingSmile Water Flosser","Apr2004",548
"417","Russia","SunShield SPF 50 Lotion","Apr2004",692
"418","South Africa","BreatheEasy Inhalant","Apr2004",1963
"419","South Africa","BrightBreeze Baby Sunscreen Stick","Apr2004",1506
"420","South Africa","Brightening Body Wash","Apr2004",823
"421","South Africa","EasyWash Laundry Detergent for Delicates","Apr2004",480
"422","South Africa","EasyWash Pet Laundry Detergent","Apr2004",1381
"423","South Africa","GentleGlow Baby Sunscreen","Apr2004",1660
"424","South Africa","SilkSmooth Conditioner","Apr2004",1440
"425","South Africa","SilkSmooth Exfoliating Scrub","Apr2004",3828
"426","South Africa","SmoothOperator Shaving Gel","Apr2004",1782
"427","United Kingdom","BreatheEasy Inhalant","Apr2004",1617
"428","United Kingdom","BrightBreeze Baby Sunscreen Stick","Apr2004",1543
"429","United Kingdom","BrightBreeze Insect Repellent","Apr2004",722
"430","United Kingdom","BrightBreeze Period Pain Relief","Apr2004",1376
"431","United Kingdom","BrightBreeze Pet Odor Eliminator","Apr2004",667
"432","United Kingdom","BrightBreeze Whitening Booster","Apr2004",472
"433","United Kingdom","BrightBreeze Window Cleaner","Apr2004",526
"434","United Kingdom","Brightening Body Wash","Apr2004",907
"435","United Kingdom","BriteBite Toothbrush","Apr2004",1628
"436","United Kingdom","Calming Creme Relaxant Bath","Apr2004",627
"437","United Kingdom","CalmingClean Bath Time Wash","Apr2004",1042
"438","United Kingdom","CalmingClean Diaper Rash Cream","Apr2004",1556
"439","United Kingdom","CalmingClean Dog Brush","Apr2004",709
"440","United Kingdom","CleanSkin Acne Treatment","Apr2004",1348
"441","United Kingdom","CleanSlate Disinfectant Spray","Apr2004",793
"442","United Kingdom","CleanSlate Feminine Deodorant","Apr2004",1899
"443","United Kingdom","CleanSlate Mouthwash","Apr2004",1596
"444","United Kingdom","CleanSlate Stain Remover","Apr2004",1872
"445","United Kingdom","CleanSmile Floss Picks","Apr2004",972
"446","United Kingdom","DailyDazzle Toothpaste","Apr2004",507
"447","United Kingdom","DelicateDew Sensitive Wash","Apr2004",1486
"448","United Kingdom","DentalDefense Toothpaste","Apr2004",757
"449","United Kingdom","EasyWash Laundry Detergent","Apr2004",1105
"450","United Kingdom","EasyWash Laundry Detergent for Babies","Apr2004",954
"451","United Kingdom","EasyWash Laundry Detergent for Delicates","Apr2004",1459
"452","United Kingdom","EasyWash Pet Laundry Detergent","Apr2004",997
"453","United Kingdom","Exfoliating Essentials Scrub","Apr2004",709
"454","United Kingdom","FreshFix Mouthwash","Apr2004",816
"455","United Kingdom","FreshFold Fabric Refresher","Apr2004",842
"456","United Kingdom","FreshFusion All-Purpose Cleaner","Apr2004",1255
"457","United Kingdom","FreshFusion Baby Wipes","Apr2004",884
"458","United Kingdom","FreshFusion Detergent","Apr2004",1577
"459","United Kingdom","FreshFusion Diaper Rash Remedy","Apr2004",1940
"460","United Kingdom","FreshFusion Flea and Tick Spray","Apr2004",607
"461","United Kingdom","FreshFusion Mouth Rinse","Apr2004",1024
"462","United Kingdom","FreshStart Toothpaste","Apr2004",850
"463","United Kingdom","GentleGlow Baby Face Wash","Apr2004",791
